study_row_id,network_node_id,profile_id,profile_source_file,current_toolkit_input_path,categorical_status,explicit_value_count,explicit_values_json,default_value_json
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.auditory_motion_directions,serialized_explicit,1,"[[""stationary_near"",""stationary_far""]]","[""looming""]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.tactile_sites,serialized_explicit,1,"[[""right wrist""]]","[""hand""]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.tactile_sites,serialized_explicit,1,"[[""right wrist""]]","[""hand""]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.tactile_sites,serialized_explicit,1,"[[""right wrist""]]","[""hand""]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.include_catch_trials,serialized_explicit,1,[true],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.include_catch_trials,serialized_explicit,1,[true],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.include_catch_trials,serialized_explicit,1,[true],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.catch_trial_percentage,serialized_explicit,1,[33.3333],10.0
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.catch_trial_percentage,serialized_explicit,1,[33.3333],10.0
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.catch_trial_percentage,serialized_explicit,1,[33.3333],10.0
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.catch_trials_exact,serialized_explicit,1,[30],null
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.catch_trials_exact,serialized_explicit,1,[30],null
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.catch_trials_exact,serialized_explicit,1,[30],null
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.catch_crosses_sequence_variants,serialized_explicit,1,[true],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.catch_crosses_sequence_variants,serialized_explicit,1,[true],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.catch_crosses_sequence_variants,serialized_explicit,1,[true],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.include_auditory_only_trials,typed_or_parser_default_not_serialized,0,[],false
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.include_auditory_only_trials,typed_or_parser_default_not_serialized,0,[],false
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.include_auditory_only_trials,typed_or_parser_default_not_serialized,0,[],false
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.auditory_only_trial_percentage,typed_or_parser_default_not_serialized,0,[],0.0
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.auditory_only_trial_percentage,typed_or_parser_default_not_serialized,0,[],0.0
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.auditory_only_trial_percentage,typed_or_parser_default_not_serialized,0,[],0.0
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.auditory_only_trials_exact,typed_or_parser_default_not_serialized,0,[],null
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.auditory_only_trials_exact,typed_or_parser_default_not_serialized,0,[],null
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.auditory_only_trials_exact,typed_or_parser_default_not_serialized,0,[],null
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.auditory_only_crosses_sequence_variants,typed_or_parser_default_not_serialized,0,[],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.auditory_only_crosses_sequence_variants,typed_or_parser_default_not_serialized,0,[],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.auditory_only_crosses_sequence_variants,typed_or_parser_default_not_serialized,0,[],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.include_baseline_trials,serialized_explicit,1,[false],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.include_baseline_trials,serialized_explicit,1,[false],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.include_baseline_trials,serialized_explicit,1,[false],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.baseline_strategy,typed_or_parser_default_not_serialized,0,[],"""tactile_only"""
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.baseline_strategy,typed_or_parser_default_not_serialized,0,[],"""tactile_only"""
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.baseline_strategy,typed_or_parser_default_not_serialized,0,[],"""tactile_only"""
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.baseline_trials_exact,typed_or_parser_default_not_serialized,0,[],null
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.baseline_trials_exact,typed_or_parser_default_not_serialized,0,[],null
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.baseline_trials_exact,typed_or_parser_default_not_serialized,0,[],null
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.baseline_trial_percentage,typed_or_parser_default_not_serialized,0,[],0.0
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.baseline_trial_percentage,typed_or_parser_default_not_serialized,0,[],0.0
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.baseline_trial_percentage,typed_or_parser_default_not_serialized,0,[],0.0
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.baseline_soa_values_ms,serialized_explicit,1,[[]],[]
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.baseline_soa_values_ms,serialized_explicit,1,[[]],[]
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.baseline_soa_values_ms,serialized_explicit,1,[[]],[]
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.baseline_custom_trial_mode,typed_or_parser_default_not_serialized,0,[],"""tactile_only"""
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.baseline_custom_trial_mode,typed_or_parser_default_not_serialized,0,[],"""tactile_only"""
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.baseline_custom_trial_mode,typed_or_parser_default_not_serialized,0,[],"""tactile_only"""
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.baseline_crosses_sequence_variants,typed_or_parser_default_not_serialized,0,[],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.baseline_crosses_sequence_variants,typed_or_parser_default_not_serialized,0,[],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.baseline_crosses_sequence_variants,typed_or_parser_default_not_serialized,0,[],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.respiratory_phases,serialized_explicit,1,"[[""Common racket session""]]","[""Inhale"",""Exhale""]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.respiratory_phases,serialized_explicit,1,"[[""No racket session""]]","[""Inhale"",""Exhale""]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.respiratory_phases,serialized_explicit,1,"[[""Personal racket session""]]","[""Inhale"",""Exhale""]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.blocks,serialized_explicit,1,[1],6
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.blocks,serialized_explicit,1,[1],6
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.blocks,serialized_explicit,1,[1],6
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.block_specs[].label,serialized_explicit,1,"[""Common racket session""]",
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.block_specs[].label,serialized_explicit,1,"[""No racket session""]",
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.block_specs[].label,serialized_explicit,1,"[""Personal racket session""]",
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.block_specs[].stimulus_types,serialized_explicit,1,"[[""Audio-Tactile"",""Catch""]]","[""Audio-Tactile"",""Baseline"",""Catch""]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.block_specs[].stimulus_types,serialized_explicit,1,"[[""Audio-Tactile"",""Catch""]]","[""Audio-Tactile"",""Baseline"",""Catch""]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.block_specs[].stimulus_types,serialized_explicit,1,"[[""Audio-Tactile"",""Catch""]]","[""Audio-Tactile"",""Baseline"",""Catch""]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.repeat_trial_pool_per_block,typed_or_parser_default_not_serialized,0,[],false
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.repeat_trial_pool_per_block,typed_or_parser_default_not_serialized,0,[],false
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.repeat_trial_pool_per_block,typed_or_parser_default_not_serialized,0,[],false
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.distribute_trial_pool_across_blocks,serialized_explicit,1,[true],false
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.distribute_trial_pool_across_blocks,serialized_explicit,1,[true],false
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.distribute_trial_pool_across_blocks,serialized_explicit,1,[true],false
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.trial_strips[].strip_id,serialized_explicit,2,"[""biggio-2017-common-racket-near"",""biggio-2017-common-racket-far""]",""""""
